Class;File;Mean;Standard deviation;Max elongation;Average elongation;Max compactness;Average compactess;Max eccentricity;Average eccentricity;Pixel ratio
LongTrans;img053.jpeg;129.2685720486111;35.19470111953285;12.761512808061857;1.0152099984713354;0.521193503920496;0.040769956494683325;11.404718434795583;1.43962319516893;0.047659647028732204
LongTrans;img053.jpeg;144.37883897569444;38.30352780650528;12.761512808061857;0.8929645126851528;0.5269018189850554;0.06565043095157183;11.43488830171137;2.2959345886093674;0.047153732530394274
LongTrans;img053.jpeg;120.78257242838542;33.83593580183257;12.684198393626966;1.0152099984713354;0.521193503920496;0.046428224295565305;11.47166510968336;1.6134618188560361;0.04658887658632144
LongTrans;img053.jpeg;132.20749593098958;35.49868144292761;12.761512808061857;1.0152099984713354;0.521193503920496;0.04074827415094358;11.11353170196381;1.4207423217371655;0.04748103316000341
LongTrans;img053.jpeg;124.16723063151042;34.2173539274268;12.684198393626966;1.0152099984713354;0.521193503920496;0.043274993280359754;11.509289166672083;1.5235263940487054;0.046826636376544085
LongTrans;img043.jpeg;129.9325808376736;30.730621567102656;8.655634003352962;1.1713091672895315;0.4471062109297083;0.06937773156781611;10.678457983183632;1.0518978042032754;0.042474973135003674
LongTrans;img043.jpeg;120.6470361328125;32.88397035896402;8.091971329657563;0.8828303674642727;0.4669775980821398;0.058229075841603424;10.087575435283995;1.0308407834505984;0.041974052403968454
LongTrans;img043.jpeg;132.99650906032986;31.031962890413542;8.655634003352962;1.1713091672895315;0.4544008858101784;0.06308989183684283;10.455998321938557;0.9140392857836434;0.04268137462876538
LongTrans;img043.jpeg;126.14988688151041;31.353983596039598;9.455394988154778;1.004613980217899;0.45373000664718555;0.0633624766989819;10.55184363014882;1.4199236488403977;0.042474973135003674
LongTrans;img043.jpeg;127.23131673177083;28.32385281132168;9.455394988154778;1.061972332454725;0.4601092195909728;0.07243352937503311;11.070993437084557;1.8412826621831266;0.03886149077074821
LongTrans;img056.jpeg;128.9219810655382;42.2011590929707;5.657028068547853;1.8856760228492844;0.839285086331105;0.0189404700817928;3.8121965234442774;0.11908379856201462;0.05633560662502149
LongTrans;img056.jpeg;144.34672173394097;43.34553474957115;5.657028068547853;1.4142570171369633;0.7866820263215696;0.02677137518570147;3.8121965234442774;0.13970004643137263;0.059645290177929806
LongTrans;img056.jpeg;112.2533509657118;38.874770617406455;6.038410386848512;1.509602596712128;0.839285086331105;0.024949627019347435;5.1114772877986505;0.2645783285625921;0.052174905811165656
LongTrans;img056.jpeg;139.1014124891493;43.15172992261029;5.657028068547853;1.4142570171369633;0.8061450714805752;0.025788323082707832;3.8121965234442774;0.13465097646502502;0.05931034482758621
LongTrans;img056.jpeg;129.6365877278646;39.65733012192537;6.038410386848512;1.509602596712128;0.839285086331105;0.023376963130759404;5.167956374083077;0.25664581583519547;0.05280594031129516
LongTrans;img052.jpeg;126.65461995442708;52.49142719466403;4.170878374526683;0.5573770491803279;0.6104358583057203;0.10083297128297737;4.531165732016391;0.9669154419391572;0.04861328402787655
LongTrans;img052.jpeg;116.87373725043403;54.74304206626654;7.0660747069859005;1.4132149413971802;0.6266304558538965;0.09928384719414397;5.338348107979874;1.0641369703028425;0.04635122477363685
LongTrans;img052.jpeg;112.77767930772569;47.77530004031;4.170878374526683;0.8360655737704918;0.33342814131739945;0.05509331362896699;4.61340918106865;0.9497048045482688;0.04401019541206457
LongTrans;img052.jpeg;117.0785009765625;56.94519515676599;4.47213595499958;0.7453559924999299;0.6526535294371221;0.1578857075580832;6.708463589509428;1.7564498147328098;0.042563420911224864
LongTrans;img052.jpeg;132.6064577907986;52.539401134972884;4.170878374526683;0.8442622950819673;0.3340146875054493;0.043433593818805356;4.625578158309185;0.741182401752894;0.04658887658632144
LongTrans;img058.jpeg;128.13006401909723;49.335588202183715;6.510514930263183;0.09999999999999999;0.5250790162710073;0.034884757108424876;6.016490351561633;0.21776907752428765;0.0987779433681073
LongTrans;img058.jpeg;105.74186197916667;46.291544491766636;6.528126032443934;0.1212121212121212;0.6393954000892204;0.039224308290173635;6.136243817519062;0.21245958628610156;0.08525671219971738
LongTrans;img058.jpeg;132.63835693359374;53.970174413040674;6.350287697904234;0.09722222222222222;0.578796069910851;0.06958709401881279;6.299614973081816;0.4388147205446008;0.16972870061875298
